figmaVariableName,value,type,alias
colors/cornflower/100,#73cedaff,COLOR,false
colors/cornflower/200,#55b9c8ff,COLOR,false
colors/cornflower/300,#359eadff,COLOR,false
colors/cornflower/400,#007889ff,COLOR,false
colors/cornflower/500,#00636fff,COLOR,false
colors/cornflower/600,#004f59ff,COLOR,false
colors/cornflower/700,#00363dff,COLOR,false
colors/cornflower/800,#001f24ff,COLOR,false
colors/cornflower/900,#021316ff,COLOR,false
colors/cornflower/1000,#00090bff,COLOR,false
colors/cornflower/000,#eaf7fbff,COLOR,false
colors/cornflower/050,#a1dfe7ff,COLOR,false
colors/gray/100,#e9e9e9ff,COLOR,false
colors/gray/200,#d6d6d6ff,COLOR,false
colors/gray/300,#c2c2c2ff,COLOR,false
colors/gray/400,#a9a9a9ff,COLOR,false
colors/gray/500,#8b8b8bff,COLOR,false
colors/gray/600,#6c6c6cff,COLOR,false
colors/gray/700,#545454ff,COLOR,false
colors/gray/800,#373737ff,COLOR,false
colors/gray/900,#2b2b2bff,COLOR,false
colors/gray/1000,#131313ff,COLOR,false
colors/gray/000,#fcfcfcff,COLOR,false
colors/gray/050,#f9f9f9ff,COLOR,false
colors/greensheen/100,#7be4a5ff,COLOR,false
colors/greensheen/200,#3dd67bff,COLOR,false
colors/greensheen/300,#00c851ff,COLOR,false
colors/greensheen/400,#00a945ff,COLOR,false
colors/greensheen/500,#008b38ff,COLOR,false
colors/greensheen/600,#006c2cff,COLOR,false
colors/greensheen/700,#035425ff,COLOR,false
colors/greensheen/800,#013717ff,COLOR,false
colors/greensheen/900,#002b1dff,COLOR,false
colors/greensheen/1000,#00130dff,COLOR,false
colors/greensheen/000,#e9fbf1ff,COLOR,false
colors/greensheen/050,#b8f1cfff,COLOR,false
colors/mandarin/100,#fcd2acff,COLOR,false
colors/mandarin/200,#fdb981ff,COLOR,false
colors/mandarin/300,#ffa052ff,COLOR,false
colors/mandarin/400,#fc853bff,COLOR,false
colors/mandarin/500,#fc7527ff,COLOR,false
colors/mandarin/600,#d9510dff,COLOR,false
colors/mandarin/700,#a84510ff,COLOR,false
colors/mandarin/800,#82360cff,COLOR,false
colors/mandarin/900,#592208ff,COLOR,false
colors/mandarin/1000,#2a1004ff,COLOR,false
colors/mandarin/000,#fff4eaff,COLOR,false
colors/mandarin/050,#ffe7d2ff,COLOR,false
colors/mandy/100,#f79f9fff,COLOR,false
colors/mandy/200,#f46e6eff,COLOR,false
colors/mandy/300,#f03e3eff,COLOR,false
colors/mandy/400,#ec0e0eff,COLOR,false
colors/mandy/500,#d40d0dff,COLOR,false
colors/mandy/600,#bd0b0bff,COLOR,false
colors/mandy/700,#8e0808ff,COLOR,false
colors/mandy/800,#5e0606ff,COLOR,false
colors/mandy/900,#2f0303ff,COLOR,false
colors/mandy/1000,#1a0606ff,COLOR,false
colors/mandy/000,#feeaeaff,COLOR,false
colors/mandy/050,#fbcfcfff,COLOR,false
colors/salmon/100,#f8b9bfff,COLOR,false
colors/salmon/200,#f8919aff,COLOR,false
colors/salmon/300,#e55d78ff,COLOR,false
colors/salmon/400,#ca284eff,COLOR,false
colors/salmon/500,#c21b43ff,COLOR,false
colors/salmon/600,#b1173bff,COLOR,false
colors/salmon/700,#851a34ff,COLOR,false
colors/salmon/800,#5e0312ff,COLOR,false
colors/salmon/900,#4c010dff,COLOR,false
colors/salmon/1000,#24060bff,COLOR,false
colors/salmon/000,#fbeff1ff,COLOR,false
colors/salmon/050,#f6d5d8ff,COLOR,false
font/sizes/2xs,10,FLOAT,false
font/sizes/xs,12,FLOAT,false
font/sizes/sm,14,FLOAT,false
font/sizes/md,16,FLOAT,false
font/sizes/lg,18,FLOAT,false
font/sizes/xl,20,FLOAT,false
font/sizes/2xl,24,FLOAT,false
font/sizes/3xl,28,FLOAT,false
font/sizes/4xl,32,FLOAT,false
font/sizes/5xl,36,FLOAT,false
font/sizes/6xl,40,FLOAT,false
font/typefaces/primary,"Lexend, sans-serif",STRING,false
font/typefaces/secondary,Bellota Text,STRING,false
font/typefaces/tertiary,"Quattrocento, serif",STRING,false
font/weights/thin,100,FLOAT,false
font/weights/extra-light,200,FLOAT,false
font/weights/light,300,FLOAT,false
font/weights/regular,400,FLOAT,false
font/weights/medium,500,FLOAT,false
font/weights/semi-bold,600,FLOAT,false
font/weights/bold,700,FLOAT,false
font/weights/extra-bold,800,FLOAT,false
font/weights/black,900,FLOAT,false
font/cases/original,null,STRING,false
font/cases/uppercase,uppercase,STRING,false
font/cases/titlecase,lowercase,STRING,false
font/decorations/none,null,STRING,false
font/decorations/underline,underline,STRING,false
font/decorations/strikethrough,strikethrough,STRING,false
font/letter-spacings/tightest,-0.05,FLOAT,false
font/letter-spacings/tighter,-0.03,FLOAT,false
font/letter-spacings/tight,-0.01,FLOAT,false
font/letter-spacings/default,0,FLOAT,false
font/letter-spacings/wide,0.1,FLOAT,false
font/letter-spacings/wider,0.25,FLOAT,false
font/letter-spacings/widest,0.5,FLOAT,false
font/line-heights/shortest,0.9,FLOAT,false
font/line-heights/shorter,0.95,FLOAT,false
font/line-heights/short,1,FLOAT,false
font/line-heights/default,1.05,FLOAT,false
font/line-heights/tall,1.175,FLOAT,false
font/line-heights/taller,1.3,FLOAT,false
font/line-heights/tallest,1.4,FLOAT,false
font/styles/normal,normal,STRING,false
font/styles/italic,italic,STRING,false
sizes/none,0,FLOAT,false
sizes/0-5x,4,FLOAT,false
sizes/default,8,FLOAT,false
sizes/1-5x,12,FLOAT,false
sizes/2x,16,FLOAT,false
sizes/3x,24,FLOAT,false
sizes/4x,32,FLOAT,false
sizes/5x,40,FLOAT,false
sizes/6x,48,FLOAT,false
opacities/invisible,0,FLOAT,false
opacities/mist,0.1,FLOAT,false
opacities/ghost,0.38,FLOAT,false
opacities/faint,0.68,FLOAT,false
opacities/veiled,0.84,FLOAT,false
opacities/smoky,0.94,FLOAT,false
opacities/solid,1,FLOAT,false